# What each kind of creature takes from each element: a damage
# multiplier, higher meaning it is hurt more. 0 is immune.
# wcid,name,health,slash,pierce,bludgeon,cold,fire,acid,electric,nether,
# tolerance,level
# health is how much it has at full, 0 when not recorded: what tells a
# thing worth spending a vulnerability on from one that dies first.
# An empty column means the creature has no figure for that element.
# tolerance is the server's flags for when it will attack; empty means
# it attacks whatever comes near. level is what it is worth killing,
# empty when it has none. Between them they tell a Rabbit from a
# Revenant, both of which stand there until they are hit.
# Regenerate with reference/scripts/data/creatures.sh (reads the ACE
# world database, the community's reconstruction of retail's server
# data; the client has no copy of its own).
1,Clay,28,1,1,1,1,1,1,1,,,1
3,Olthoi Worker,158,0.75,1,1,0.75,0.75,0.42,0.25,,,50
5,Laigus Lugian,105,0.66,0.66,0.66,0.42,0.3,0.9,1,,64,20
6,Banderling Scout,43,0.76,0.65,0.5,0.76,1,0.65,1,,,8
7,Drudge Skulker,42,0.86,0.75,0.66,1.42,1.42,0.75,1.42,,,8
8,Creeper Mosswart,47,0.8,0.8,0.8,0.8,1,0.8,1,,,8
10,Mite Scamp,45,0.7,0.8,0.8,0.75,1,1,0.8,,,8
11,Male Tusker,100,0.5,1,0.75,0.75,1,0.75,0.4,,,20
12,Red Phyntos Wasp,35,1,1,1,0.8,0.9,0.9,0.9,,,8
13,White Rat,10,0.6,1.6,1.6,0.6,2.1,0.85,0.85,,,8
16,Undead,35,1,0.7,0.75,0.4,1,0.75,0.86,,,8
17,Gromnie,40,1,1,1,1,1,1,1,,,6
18,Reedshark Elder,60,0.6,0.75,1,0.66,1,1,0.75,,,15
19,Bronze Armoredillo,70,0.53,1,0.5,0.95,0.5,0.7,0.95,,,20
23,Virindi Servant,125,1,1,1,0.5,1,1,0.5,,,40
177,Spiny Armoredillo,38,0.53,1,0.5,0.95,0.5,0.7,0.95,,,8
178,Brown Armoredillo,38,0.53,1,0.5,0.95,0.5,0.7,0.95,,,8
179,Spikey Armoredillo,38,0.53,1,0.5,0.95,0.5,0.7,0.95,,,8
180,Sandy Armoredillo,70,0.53,1,0.5,0.95,0.5,0.7,0.95,,,20
183,Banderling Raver,70,0.76,0.65,0.5,0.76,1,0.65,1,,,15
184,Banderling Captain,65,0.76,0.65,0.5,0.76,1,0.65,1,,,15
185,Bandit,28,1,1,1,1,1,1,1,,,6
187,Bandit Lord,210,0.35,0.35,0.35,0.35,0.35,0.35,0.35,,,110
188,Bandit Mage,200,0.35,0.35,0.35,0.35,0.35,0.35,0.35,,,110
189,Cultist High Priest,245,0.35,0.35,0.35,0.35,0.35,0.35,0.35,,,100
